YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,TITLE1_FLAG,TITLE1_FLAG_DESC,ENROLLMENT_GRADES_K_12,JANUARY_MEMBERSHIP,LUNCH_COUNT_FREE_REDUCED,LUNCH_COUNT_FREE_REDUCTED_PCT,ENROLLMENT_ASIAN,ENROLLMENT_ASIAN_PCT,ENROLLMENT_ASIAN_PACIFIC_ISLANDER,ENROLLMENT_ASIAN_PACIFIC_ISLANDER_PCT,ENROLLMENT_BLACK,ENROLLMENT_BLACK_PCT,ENROLLMENT_HISPANIC,ENROLLMENT_HISPANIC_PCT,ENROLLMENT_INDIAN,ENROLLMENT_INDIAN_PCT,ENROLLMENT_MULTIRACIAL,ENROLLMENT_MULTIRACIAL_PCT,ENROLLMENT_PACIFIC_ISLANDER,ENROLLMENT_PACIFIC_ISLANDER_PCT,ENROLLMENT_WHITE,ENROLLMENT_WHITE_PCT,ENROLLMENT_ELL_LEP,ENROLLMENT_ELL_LEP_PCT,ENROLLMENT_GRADE_PK_ELL_LEP,ENROLLMENT_GRADE_PK_ELL_LEP_PCT,IEP_SCHOOLAGE_CHILDCOUNT,IEP_INCIDENCE_RATE
2003,115115,ST. LOUIS CITY,4630,FORD-FORD BR. ELEM. COMM. ED.,S,SCHOOLWIDE,247,246,*,*,NULL,NULL,*,*,247,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4630,FORD-FORD BR. ELEM. COMM. ED.,S,SCHOOLWIDE,400,381,*,*,NULL,NULL,*,*,397,99.25,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4630,FORD-FORD BR. ELEM. COMM. ED.,S,SCHOOLWIDE,308,314,307,97.8,NULL,NULL,*,*,306,99.35,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,510,495,*,*,NULL,NULL,*,*,213,41.76,9,1.76,*,*,*,*,NULL,NULL,275,53.92,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,504,494,*,*,NULL,NULL,*,*,227,45.04,8,1.59,*,*,*,*,NULL,NULL,252,50,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,335,314,*,*,NULL,NULL,*,*,159,47.46,8,2.39,*,*,*,*,NULL,NULL,155,46.27,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,428,415,*,*,NULL,NULL,*,*,255,59.58,12,2.8,*,*,*,*,NULL,NULL,144,33.64,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,350,408,*,*,NULL,NULL,*,*,227,64.86,6,1.71,*,*,*,*,NULL,NULL,102,29.14,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,381,396,387,97.7,NULL,NULL,*,*,247,64.83,12,3.15,*,*,*,*,NULL,NULL,79,20.73,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,477,505,*,*,NULL,NULL,*,*,395,82.81,7,1.47,*,*,*,*,NULL,NULL,46,9.64,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,NULL, ,665,562,556,98.9,NULL,NULL,*,*,507,76.24,16,2.41,*,*,*,*,NULL,NULL,104,15.64,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,639,660,*,*,NULL,NULL,*,*,550,86.07,8,1.25,*,*,*,*,NULL,NULL,53,8.29,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,495,539,533,98.9,NULL,NULL,*,*,429,86.67,10,2.02,*,*,*,*,NULL,NULL,32,6.46,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,422,447,441,98.7,NULL,NULL,*,*,357,84.6,15,3.55,*,*,*,*,NULL,NULL,33,7.82,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,331,334,*,*,NULL,NULL,*,*,279,84.29,16,4.83,*,*,*,*,NULL,NULL,28,8.46,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,386,491,477,97.1,NULL,NULL,*,*,329,85.23,23,5.96,*,*,*,*,NULL,NULL,22,5.7,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,511,528,*,*,NULL,NULL,*,*,444,86.89,31,6.07,*,*,*,*,NULL,NULL,22,4.31,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4660,FROEBEL ELEM.,S,SCHOOLWIDE,447,408,395,96.8,NULL,NULL,*,*,401,89.71,21,4.7,*,*,*,*,NULL,NULL,22,4.92,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,441,448,*,*,NULL,NULL,*,*,245,55.56,8,1.81,*,*,*,*,NULL,NULL,187,42.4,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,267,274,*,*,NULL,NULL,*,*,148,55.43,*,*,*,*,*,*,NULL,NULL,118,44.19,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,251,247,*,*,NULL,NULL,*,*,156,62.15,*,*,*,*,*,*,NULL,NULL,92,36.65,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,357,351,*,*,NULL,NULL,*,*,238,66.67,*,*,*,*,*,*,NULL,NULL,119,33.33,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,263,253,*,*,NULL,NULL,*,*,182,69.2,*,*,*,*,*,*,NULL,NULL,80,30.42,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,315,320,314,98.1,NULL,NULL,*,*,225,71.43,6,1.9,*,*,*,*,NULL,NULL,70,22.22,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,320,332,319,96.1,NULL,NULL,*,*,205,64.06,10,3.13,*,*,*,*,NULL,NULL,82,25.63,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,NULL, ,356,358,344,96.1,NULL,NULL,*,*,224,62.92,5,1.4,*,*,*,*,NULL,NULL,95,26.69,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4700,GARFIELD ELEM.,S,SCHOOLWIDE,316,347,321,92.5,NULL,NULL,*,*,219,69.3,6,1.9,*,*,*,*,NULL,NULL,69,21.84,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,S,SCHOOLWIDE,364,366,358,97.8,NULL,NULL,*,*,262,71.98,18,4.95,*,*,*,*,NULL,NULL,63,17.31,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,S,SCHOOLWIDE,319,378,*,*,NULL,NULL,*,*,232,72.73,17,5.33,*,*,*,*,NULL,NULL,45,14.11,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,S,SCHOOLWIDE,301,295,*,*,NULL,NULL,*,*,225,74.75,22,7.31,*,*,*,*,NULL,NULL,40,13.29,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4700,GARFIELD ELEM.,S,SCHOOLWIDE,190,152,*,*,NULL,NULL,*,*,131,68.95,12,6.32,*,*,*,*,NULL,NULL,38,20,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,67,64,*,*,NULL,NULL,*,*,48,71.64,*,*,*,*,*,*,NULL,NULL,17,25.37,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,62,64,*,*,NULL,NULL,*,*,44,70.97,*,*,*,*,*,*,NULL,NULL,16,25.81,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,65,66,*,*,NULL,NULL,*,*,48,73.85,*,*,*,*,*,*,NULL,NULL,15,23.08,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,69,71,*,*,NULL,NULL,*,*,55,79.71,*,*,*,*,*,*,NULL,NULL,12,17.39,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,71,70,*,*,NULL,NULL,*,*,54,76.06,*,*,*,*,*,*,NULL,NULL,16,22.54,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,67,70,*,*,NULL,NULL,*,*,51,76.12,*,*,*,*,*,*,NULL,NULL,15,22.39,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,59,60,*,*,NULL,NULL,*,*,47,79.66,*,*,*,*,*,*,NULL,NULL,11,18.64,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,58,56,*,*,NULL,NULL,*,*,42,72.41,*,*,*,*,*,*,NULL,NULL,13,22.41,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,50,52,*,*,NULL,NULL,*,*,34,68,*,*,*,*,*,*,NULL,NULL,14,28,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,46,63,57,90.5,NULL,NULL,*,*,36,78.26,*,*,*,*,*,*,NULL,NULL,9,19.57,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,51,63,58,92.1,NULL,NULL,*,*,38,74.51,*,*,*,*,*,*,NULL,NULL,10,19.61,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,51,63,56,88.9,NULL,NULL,*,*,39,76.47,*,*,*,*,*,*,NULL,NULL,9,17.65,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,45,44,*,*,NULL,NULL,*,*,33,73.33,*,*,*,*,*,*,NULL,NULL,9,20,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,47,46,39,84.8,NULL,NULL,*,*,35,74.47,*,*,*,*,*,*,NULL,NULL,9,19.15,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4720,GALLAUDET SCH. FOR DEAF ELEM.,NULL, ,44,41,35,85.4,NULL,NULL,*,*,32,72.73,*,*,*,*,*,*,NULL,NULL,9,20.45,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,NULL, ,496,504,374,74.2,NULL,NULL,*,*,294,59.27,*,*,*,*,*,*,NULL,NULL,192,38.71,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,NULL, ,531,530,380,71.7,NULL,NULL,*,*,323,60.83,*,*,*,*,*,*,NULL,NULL,198,37.29,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,NULL, ,542,534,368,68.9,NULL,NULL,*,*,337,62.18,*,*,*,*,*,*,NULL,NULL,197,36.35,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,546,538,370,68.8,NULL,NULL,*,*,333,60.99,6,1.1,*,*,*,*,NULL,NULL,193,35.35,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,517,523,371,70.9,NULL,NULL,*,*,317,61.32,5,0.97,*,*,*,*,NULL,NULL,191,36.94,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,515,503,362,72,NULL,NULL,*,*,332,64.47,*,*,*,*,*,*,NULL,NULL,178,34.56,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,518,510,368,72.2,NULL,NULL,*,*,337,65.06,*,*,*,*,*,*,NULL,NULL,173,33.4,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,505,523,380,72.7,NULL,NULL,*,*,316,62.57,5,0.99,*,*,*,*,NULL,NULL,173,34.26,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,501,505,372,73.7,NULL,NULL,*,*,323,64.47,11,2.2,5,1,*,*,NULL,NULL,146,29.14,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4730,GATEWAY ELEM.,S,SCHOOLWIDE,495,504,291,57.7,NULL,NULL,*,*,316,63.84,22,4.44,9,1.82,*,*,NULL,NULL,127,25.66,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,400,418,*,*,NULL,NULL,*,*,400,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,382,363,*,*,NULL,NULL,*,*,382,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,334,324,*,*,NULL,NULL,*,*,334,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,396,383,*,*,NULL,NULL,*,*,394,99.49,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,355,360,*,*,NULL,NULL,*,*,355,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,346,367,360,98.1,NULL,NULL,*,*,346,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,400,391,*,*,NULL,NULL,*,*,398,99.5,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,NULL, ,414,406,400,98.5,NULL,NULL,*,*,414,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,398,420,411,97.9,NULL,NULL,*,*,398,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,354,355,347,97.7,NULL,NULL,*,*,354,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,378,394,386,98,NULL,NULL,*,*,375,99.21,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,349,347,337,97.1,NULL,NULL,*,*,349,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,300,286,274,95.8,NULL,NULL,*,*,300,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,248,277,265,95.7,NULL,NULL,*,*,248,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4760,GUNDLACH ELEM.,S,SCHOOLWIDE,219,214,206,96.3,NULL,NULL,*,*,219,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4780,HAMILTON ELEM.,NULL, ,466,455,*,*,NULL,NULL,*,*,304,65.24,*,*,*,*,*,*,NULL,NULL,133,28.54,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4780,HAMILTON ELEM.,NULL, ,525,545,*,*,NULL,NULL,*,*,373,71.05,6,1.14,*,*,*,*,NULL,NULL,99,18.86,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4780,HAMILTON ELEM.,NULL, ,239,251,*,*,NULL,NULL,*,*,185,77.41,9,3.77,*,*,*,*,NULL,NULL,11,4.6,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4780,HAMILTON ELEM.,NULL, ,373,410,*,*,NULL,NULL,*,*,196,52.55,8,2.14,*,*,*,*,NULL,NULL,92,24.66,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,NULL, ,516,533,*,*,NULL,NULL,*,*,340,65.89,5,0.97,*,*,*,*,NULL,NULL,105,20.35,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,NULL, ,511,494,467,94.5,NULL,NULL,*,*,361,70.65,6,1.17,*,*,*,*,NULL,NULL,102,19.96,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,NULL, ,483,515,478,92.8,NULL,NULL,*,*,344,71.22,*,*,*,*,*,*,NULL,NULL,97,20.08,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,NULL, ,539,533,463,86.9,NULL,NULL,*,*,385,71.43,12,2.23,*,*,*,*,NULL,NULL,124,23.01,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,515,529,490,92.6,NULL,NULL,*,*,372,72.23,9,1.75,*,*,*,*,NULL,NULL,117,22.72,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,370,391,363,92.8,NULL,NULL,*,*,302,81.62,9,2.43,*,*,*,*,NULL,NULL,52,14.05,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,325,299,258,86.3,NULL,NULL,*,*,267,82.15,14,4.31,8,2.46,*,*,NULL,NULL,35,10.77,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,175,172,151,87.8,NULL,NULL,*,*,151,86.29,6,3.43,*,*,*,*,NULL,NULL,17,9.71,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,122,122,108,88.5,NULL,NULL,*,*,112,91.8,7,5.74,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,275,306,296,96.7,NULL,NULL,*,*,272,98.91,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4780,HAMILTON ELEM. COMMUNITY ED.,S,SCHOOLWIDE,246,248,236,95.2,NULL,NULL,*,*,243,98.78,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4800,HAMILTON BRANCH,NULL, ,238,224,*,*,NULL,NULL,*,*,238,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4800,HAMILTON BRANCH,NULL, ,193,179,*,*,NULL,NULL,*,*,193,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4820,HARRISON ELEM.,NULL, ,398,388,*,*,NULL,NULL,*,*,398,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4820,HARRISON ELEM.,NULL, ,363,342,*,*,NULL,NULL,*,*,363,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4820,HARRISON ELEM.,NULL, ,275,275,*,*,NULL,NULL,*,*,275,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4820,HARRISON ELEM.,NULL, ,246,235,*,*,NULL,NULL,*,*,246,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4820,HARRISON ELEM.,NULL, ,240,257,*,*,NULL,NULL,*,*,240,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,382,372,*,*,NULL,NULL,*,*,382,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,343,348,*,*,NULL,NULL,*,*,343,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,362,353,*,*,NULL,NULL,*,*,361,99.72,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,430,444,*,*,NULL,NULL,*,*,429,99.77,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,334,343,*,*,NULL,NULL,*,*,334,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,296,303,236,77.9,NULL,NULL,*,*,296,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,328,322,*,*,NULL,NULL,*,*,325,99.09,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,NULL, ,353,377,280,74.3,NULL,NULL,*,*,353,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4840,HEMPSTEAD ELEM.,S,SCHOOLWIDE,395,418,400,95.7,NULL,NULL,*,*,394,99.75,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,S,SCHOOLWIDE,382,400,360,90,NULL,NULL,*,*,382,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,S,SCHOOLWIDE,358,374,365,97.6,NULL,NULL,*,*,358,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,S,SCHOOLWIDE,303,298,293,98.3,NULL,NULL,*,*,301,99.34,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4840,HEMPSTEAD ELEM.,S,SCHOOLWIDE,218,231,216,93.5,NULL,NULL,*,*,218,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4850,HEMPSTEAD BRANCH I,NULL, ,102,99,*,*,NULL,NULL,*,*,102,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4850,HEMPSTEAD BRANCH I,NULL, ,83,90,*,*,NULL,NULL,*,*,83,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
1991,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,466,463,*,*,NULL,NULL,*,*,282,60.52,*,*,*,*,*,*,NULL,NULL,184,39.48,*,*,*,*,*,*
1992,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,476,471,*,*,NULL,NULL,*,*,307,64.5,*,*,*,*,*,*,NULL,NULL,168,35.29,*,*,*,*,*,*
1993,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,491,489,*,*,NULL,NULL,*,*,337,68.64,*,*,*,*,*,*,NULL,NULL,153,31.16,*,*,*,*,*,*
1994,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,509,467,*,*,NULL,NULL,*,*,379,74.46,*,*,*,*,*,*,NULL,NULL,130,25.54,*,*,*,*,*,*
1995,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,418,396,*,*,NULL,NULL,*,*,311,74.4,*,*,*,*,*,*,NULL,NULL,107,25.6,*,*,*,*,*,*
1996,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,631,608,587,96.5,NULL,NULL,*,*,503,79.71,14,2.22,*,*,*,*,NULL,NULL,113,17.91,*,*,*,*,*,*
1997,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,597,604,*,*,NULL,NULL,*,*,483,80.9,9,1.51,*,*,*,*,NULL,NULL,105,17.59,*,*,*,*,*,*
1998,115115,ST. LOUIS CITY,4880,HENRY ELEM.,NULL, ,607,504,406,80.6,NULL,NULL,*,*,536,88.3,6,0.99,*,*,*,*,NULL,NULL,62,10.21,*,*,*,*,*,*
1999,115115,ST LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,484,455,438,96.3,NULL,NULL,*,*,442,91.32,6,1.24,*,*,*,*,NULL,NULL,34,7.02,*,*,*,*,*,*
2000,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,392,405,*,*,NULL,NULL,*,*,361,92.09,*,*,*,*,*,*,NULL,NULL,28,7.14,*,*,*,*,*,*
2001,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,284,266,261,98.1,NULL,NULL,*,*,275,96.83,*,*,*,*,*,*,NULL,NULL,9,3.17,*,*,*,*,*,*
2002,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,219,241,*,*,NULL,NULL,*,*,215,98.17,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2003,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,222,228,*,*,NULL,NULL,*,*,222,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2004,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,174,191,*,*,NULL,NULL,*,*,174,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
2005,115115,ST. LOUIS CITY,4880,HENRY ELEM.,S,SCHOOLWIDE,147,143,138,96.5,NULL,NULL,*,*,147,100,*,*,*,*,*,*,NULL,NULL,*,*,*,*,*,*,*,*
